ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
AACG,0.42,63,0,2,1027,5,41747,2,221423,9,264197,1,100,1,21049,"28-11-2022 21:59:51"
AADI,61.77,24,201,36,4105535,31,2285291,12,8677192,79,15068018,10,1262498,13,1714845,"28-11-2022 21:59:51"
AAL,55.39,650,"5,220",237,27714452,241,21038240,141,311240824,619,359993516,55,6418210,66,9250431,"28-11-2022 21:59:51"
AAME,5.5,20,3,6,61975,6,47622,7,1009991,19,1119588,1,46852,2,16827,"28-11-2022 21:59:51"
AAOI,32.88,29,21,27,2208284,34,2629861,14,4541082,75,9379227,12,1756652,10,251097,"28-11-2022 21:59:51"
AAON,71.15,53,"2,974",109,1560813,89,1701961,37,34589150,235,37851924,30,339151,16,125171,"28-11-2022 21:59:51"
AAPL,59.08,"15,908","1,392,086","1,796",198599828,"2,315",219414404,307,8980983299,"4,418",9398997531,118,55075618,71,8686726,"28-11-2022 21:59:51"
ABCB,88.14,69,"3,255",112,2823047,121,2638011,45,55662928,278,61123986,26,360870,24,317104,"28-11-2022 21:59:51"
ABCL,45.42,286,"1,757",117,23844026,56,30923774,31,75170629,204,129938429,44,3454772,15,12420610,"28-11-2022 21:59:51"
ABEO,12.27,17,8,9,1357439,33,120591,6,629659,48,2107689,6,182306,21,89332,"28-11-2022 21:59:51"
ABNB,63.31,398,"24,627",479,24775742,438,28719121,159,198648955,"1,076",252143818,111,3474612,103,2862736,"28-11-2022 21:59:51"
ABOS,67.26,41,170,34,4289212,23,2390446,7,20847887,64,27527545,17,3181504,12,147922,"28-11-2022 21:59:51"
ABSI,47.65,92,99,37,2472123,27,582764,23,40973955,87,44028842,14,984351,10,279711,"28-11-2022 21:59:51"
ABUS,29.85,156,125,64,5928793,40,3567631,29,37210492,133,46706916,21,2150273,8,2123622,"28-11-2022 21:59:51"
ABVC,1.99,33,0,9,180902,2,1093122,1,623403,12,650621,7,82063,1,1092745,"28-11-2022 21:59:51"
ACAD,93.76,162,"2,294",105,10675714,122,9906366,51,131244543,278,151826623,24,3330244,51,4735843,"28-11-2022 21:59:51"
ACB,13.98,300,55,67,8274748,95,16590418,120,17138066,282,42003232,23,938535,39,3271529,"28-11-2022 21:59:51"
ACCD,77.32,72,469,79,4733633,68,3576465,26,47312953,173,55623051,18,1425554,23,752860,"28-11-2022 21:59:51"
ACDC,37.33,54,496,67,5609773,46,4167157,8,10368342,121,20145272,28,1697498,28,1929820,"28-11-2022 21:59:51"
ACET,97.02,43,713,65,6916963,42,3387116,17,31268276,124,41572355,21,3092196,20,923528,"28-11-2022 21:59:51"
ACGL,88.79,370,"19,288",235,14390213,232,15033527,80,298999598,547,328423338,42,2438263,59,792982,"28-11-2022 21:59:51"
ACGLN,0.03,20,0,0,0,0,0,2,6573,2,6573,0,0,0,0,"28-11-2022 21:59:51"
ACHC,102.89,91,"8,087",169,15496054,142,15200320,38,62906543,349,93602917,58,10828423,24,1113535,"28-11-2022 21:59:51"
ACHL,67.16,41,52,14,533400,8,398590,8,26338268,30,27270258,5,51033,2,260648,"28-11-2022 21:59:51"
ACHV,21.82,10,6,11,228935,16,153543,7,1736488,34,2118966,3,16635,7,52653,"28-11-2022 21:59:51"
ACIU,16.83,84,39,14,498463,15,261765,13,13302896,42,14063124,6,365513,6,201857,"28-11-2022 21:59:51"
ACIW,99.34,112,"2,333",139,9836651,136,9227251,26,92571082,301,111634984,33,1390308,33,1165383,"28-11-2022 21:59:51"
ACLS,87.49,33,"2,281",146,3100588,142,2182963,42,23456015,330,28739566,50,791608,38,491280,"28-11-2022 21:59:51"
ACLX,95.13,44,901,54,9205791,28,2485744,5,29962732,87,41654267,19,1371665,12,663297,"28-11-2022 21:59:51"
ACMR,65.72,54,307,66,10179322,44,11078789,17,14351609,127,35609720,29,5894509,8,2127670,"28-11-2022 21:59:51"
ACNB,28.67,9,94,27,160444,29,271075,13,2008710,69,2440229,4,96755,12,141559,"28-11-2022 21:59:51"
ACNT,21.07,10,24,14,73663,16,302812,11,1780272,41,2156747,3,27456,7,229444,"28-11-2022 21:59:51"
ACON,2.85,8,0,9,214691,0,0,1,7980,10,222671,8,212444,0,0,"28-11-2022 21:59:51"
ACRS,95.76,67,"1,119",71,2696066,36,2879279,33,58282624,140,63857969,22,732237,8,526406,"28-11-2022 21:59:51"
ACT,19.88,163,794,63,2701702,33,2725814,10,26938443,106,32365959,31,811110,10,365532,"28-11-2022 21:59:51"
ACTG,45.44,44,82,30,899564,54,2895555,18,15987572,102,19782691,15,286028,24,1272107,"28-11-2022 21:59:51"
ACVA,96.08,115,867,82,17014056,66,10430289,28,83239924,176,110684269,25,4732828,26,5572791,"28-11-2022 21:59:51"
ACXP,13.13,12,4,9,1199414,3,23185,3,299717,15,1522316,4,1129473,2,22750,"28-11-2022 21:59:51"
ADAG,10.85,55,6,2,97719,8,1688798,5,4153762,15,5940279,0,0,4,412953,"28-11-2022 21:59:51"
ADAP,11.58,983,251,30,1844835,32,2627434,25,109396216,87,113868485,10,737177,17,1220297,"28-11-2022 21:59:51"
ADBE,81.06,465,"125,988","1,000",20306224,"1,158",25207018,241,331356557,"2,399",376869799,120,2968522,214,2194926,"28-11-2022 21:59:51"
